algorithm,map_index,agent_num,episode,success,collision,timeout,steps,reward,path_distance,elapsed_time,avg_step_time
ppo_abc,1,10,8,False,False,True,200,-4588.0,5129.423298646129,82.48494338989258,0.38369048714637755
ppo_abc,1,10,9,True,False,False,137,-3558.0,4687.5352729908245,81.83901691436768,0.568436913246656
abc,1,10,0,False,True,False,191,-11396.0,8081.663174390488,129.71916103363037,0.6791472048035467
abc,1,10,1,False,False,True,200,-10802.0,9032.053004268357,140.7627193927765,0.7038048195838928
abc,1,10,2,False,False,True,200,-12776.0,9962.27419520821,157.74645709991455,0.7887238097190857
abc,1,10,3,False,True,False,197,-10838.0,5480.959272423674,91.88607144355774,0.46641850108422606
abc,1,10,4,False,True,False,187,-11382.0,6980.662399062615,105.532968044281,0.5643387223310011
abc,1,10,5,True,False,False,197,-9122.0,8008.570074156857,125.87319326400757,0.6389417878262282
abc,1,10,6,True,False,False,160,-8382.0,6956.360992023855,114.61029195785522,0.7163062900304794
abc,1,10,7,False,False,True,200,-9174.0,7807.62422216861,122.32201671600342,0.6116013693809509
abc,1,10,8,False,False,True,200,-9498.0,8187.014799891077,123.97478771209717,0.6198645949363708
abc,1,10,9,False,True,True,200,-12194.0,7343.871052429535,107.20183539390564,0.5360012948513031
pso,1,10,0,False,False,True,200,-20000.0,0.0,311.3194856643677,1.5565890312194823
pso,1,10,1,False,False,True,200,-8676.0,4043.358142931292,203.7118842601776,1.0185498774051667
pso,1,10,2,False,False,True,200,-4320.0,4837.460259155553,160.68895864486694,0.8034342622756958
pso,1,10,3,False,False,True,200,-3916.0,4139.105734912954,147.38989162445068,0.7369391441345214
pso,1,10,4,False,False,True,200,-7536.0,5143.034295785818,181.5769386291504,0.9078764772415161
pso,1,10,5,True,False,False,111,-4498.0,5152.4771233925385,126.02791929244995,1.1353783478608002
pso,1,10,6,False,False,True,200,-11666.0,3333.757012003731,231.96100425720215,1.1597973108291626
pso,1,10,7,True,False,False,151,-8968.0,4866.085241700013,231.70478749275208,1.5344575809327183
pso,1,10,8,False,False,True,200,-4990.0,4396.725435430879,169.0878186225891,0.8454299688339233
pso,1,10,9,False,False,True,200,-20000.0,0.0,377.4090723991394,1.8870356905460357
cpso,1,10,0,False,False,True,200,-20000.0,0.0,405.9530494213104,2.0297552514076234
cpso,1,10,1,False,False,True,200,-8120.0,4250.793832758901,272.26374340057373,1.3613101899623872
cpso,1,10,2,False,False,True,200,-8588.0,4394.126811992472,275.53949546813965,1.3776891386508943
cpso,1,10,3,True,False,False,96,-3098.0,4251.735093767125,153.01408576965332,1.5938888018329938
cpso,1,10,4,False,False,True,200,-7454.0,4973.043852176438,285.5073444843292,1.4275275361537934
cpso,1,10,5,True,False,False,113,-4318.0,4989.299311054347,187.99256014823914,1.663641961274949
cpso,1,10,6,True,False,False,183,-7426.0,4530.188556428734,262.2892038822174,1.4332661954431587
cpso,1,10,7,False,False,True,200,-8530.0,3710.631767680733,244.8728973865509,1.224353895187378
cpso,1,10,8,True,False,False,104,-3164.0,4644.279517111748,158.96997261047363,1.5285475391608019
cpso,1,10,9,False,False,True,200,-20000.0,0.0,356.9769024848938,1.7848759698867798
abcl,1,10,0,True,False,False,115,-4556.0,5567.001021612885,67.20297527313232,0.584366282172825
abcl,1,10,1,True,False,False,151,-5770.0,6592.7857013667035,80.3692626953125,0.5322391971057614
abcl,1,10,2,False,False,True,200,-6584.0,7152.718957408996,90.47267150878906,0.45235517144203186
abcl,1,10,3,True,False,False,160,-5832.0,6507.044319573387,81.76731324195862,0.5110381558537483
abcl,1,10,4,True,False,False,169,-7320.0,8048.116718000703,98.06109833717346,0.5802357888080665
abcl,1,10,5,True,False,False,163,-6774.0,7063.7601081328485,90.74111580848694,0.5566860093660881
abcl,1,10,6,True,False,False,159,-5136.0,5768.685387622233,74.04766917228699,0.46570117668535727
abcl,1,10,7,True,False,False,159,-6380.0,6832.648811477748,86.35173678398132,0.5430850712758191
abcl,1,10,8,True,False,False,166,-5388.0,6285.370734015569,77.59176278114319,0.4674130922340485
abcl,1,10,9,True,False,False,169,-5472.0,6246.649985035849,78.91960954666138,0.4669718220389101
ppo_abc,2,10,0,False,False,True,200,-5544.0,6177.383904235136,138.46288442611694,0.6632271897792816
ppo_abc,2,10,1,False,False,True,200,-7120.0,7242.8902969637975,154.73626470565796,0.7453677940368653
ppo_abc,2,10,2,False,False,True,200,-8466.0,6290.445925457465,180.22738337516785,0.8726197123527527
ppo_abc,2,10,3,False,False,True,200,-4728.0,5147.513031372498,115.04553556442261,0.5470964312553406
ppo_abc,2,10,4,False,False,True,200,-4430.0,5297.86861347148,148.59249424934387,0.7137096273899078
ppo_abc,2,10,5,False,False,True,200,-6234.0,5507.552738401813,150.41916513442993,0.7225099718570709
ppo_abc,2,10,6,False,False,True,200,-4682.0,4247.937544716255,112.64642143249512,0.5353669369220734
ppo_abc,2,10,7,False,False,True,200,-5982.0,4845.838648899652,129.58789825439453,0.6193982601165772
ppo_abc,2,10,8,False,False,True,200,-5188.0,6007.502479258618,129.9782886505127,0.6213360965251923
ppo_abc,2,10,9,False,False,True,200,-5762.0,5828.094352958753,141.00102424621582,0.6761416339874268
abc,2,10,0,False,False,True,200,-10454.0,8426.80426401107,200.71360182762146,1.0035587823390961
abc,2,10,1,False,False,True,200,-10546.0,8708.069520126648,177.86530089378357,0.8893179786205292
abc,2,10,2,False,False,True,200,-11582.0,9169.081234377054,184.0753173828125,0.9203691518306732
abc,2,10,3,False,True,True,200,-13604.0,6921.092000569253,147.36140727996826,0.7367997884750366
abc,2,10,4,False,False,True,200,-6966.0,6753.361420940394,127.6064555644989,0.6380241072177887
abc,2,10,5,True,False,False,150,-6490.0,6095.456238501988,117.75843501091003,0.7850490140914917
abc,2,10,6,False,True,True,200,-17610.0,6649.332511521752,147.94270586967468,0.7397054898738861
abc,2,10,7,False,False,True,200,-11722.0,8535.487768724386,180.30564785003662,0.9015203666687012
abc,2,10,8,False,False,True,200,-9062.0,7928.157426711944,151.82115268707275,0.7590982794761658
abc,2,10,9,False,False,True,200,-9758.0,8468.120558188482,161.4548647403717,0.8072666609287262
pso,2,10,0,False,False,True,200,-7020.0,5065.310489094572,251.7251570224762,1.2586182510852815
pso,2,10,1,False,False,True,200,-20000.0,0.0,472.02838110923767,2.360133658647537
pso,2,10,2,False,False,True,200,-14452.0,3454.7093374465844,387.7887041568756,1.9389352691173554
pso,2,10,3,False,False,True,200,-5064.0,3750.3959853249653,195.38664054870605,0.9769240188598632
pso,2,10,4,False,False,True,200,-20000.0,0.0,468.64942026138306,2.3432386648654937
pso,2,10,5,False,False,True,200,-20000.0,0.0,469.2227075099945,2.346105275154114
pso,2,10,6,False,False,True,200,-15192.0,3912.053324150439,463.6873188018799,2.3184261107444764
pso,2,10,7,False,False,True,200,-20000.0,0.0,589.411904335022,2.947048053741455
pso,2,10,8,False,False,True,200,-20000.0,0.0,525.2280101776123,2.626129171848297
pso,2,10,9,False,False,True,200,-7500.0,4698.771428806266,291.90135526657104,1.4594950425624846
cpso,2,10,0,False,False,True,200,-17264.0,2839.6407221778436,606.4601480960846,3.032287404537201
cpso,2,10,1,False,False,True,200,-20000.0,0.0,652.4362156391144,3.2621697509288787
cpso,2,10,2,False,False,True,200,-19364.0,1460.698786308874,582.4236309528351,2.9121083307266233
cpso,2,10,3,False,False,True,200,-15368.0,2329.9833847971017,550.318767786026,2.7515820348262787
cpso,2,10,4,False,False,True,200,-20000.0,0.0,680.9711723327637,3.4048443055152893
cpso,2,10,5,False,False,True,200,-20000.0,0.0,695.0755345821381,3.4753672313690185
cpso,2,10,6,False,False,True,200,-10674.0,3790.8537974830324,416.8622057437897,2.0843008255958555
cpso,2,10,7,False,False,True,200,-20000.0,0.0,549.9172713756561,2.749577798843384
cpso,2,10,8,False,False,True,200,-20000.0,0.0,552.057333946228,2.7602784490585326
cpso,2,10,9,False,False,True,200,-16768.0,3134.7353092474305,506.7873899936676,2.533928654193878
abcl,2,10,0,False,False,True,200,-7900.0,7654.174930339367,151.8999526500702,0.7594930469989777
abcl,2,10,1,False,False,True,200,-8498.0,8119.277565855686,157.728013753891,0.788631695508957
abcl,2,10,2,False,False,True,200,-8870.0,7754.09527414359,160.2675015926361,0.8013294792175293
abcl,2,10,3,False,False,True,200,-4762.0,5194.804759745827,104.24568629264832,0.5212199473381043
abcl,2,10,4,True,False,False,98,-3834.0,5000.290043770827,86.819504737854,0.8859054336742479
abcl,2,10,5,False,True,False,148,-6704.0,5370.633250265657,105.01341772079468,0.7095422809188431
abcl,2,10,6,False,False,True,200,-5988.0,5694.149063807148,119.23179268836975,0.5961514794826508
abcl,2,10,7,False,False,True,200,-6746.0,5494.609893805324,125.98323583602905,0.6299080765247345
abcl,2,10,8,False,False,True,200,-7070.0,7024.023933890382,138.38850736618042,0.6919345676898956
abcl,2,10,9,False,False,True,200,-6336.0,6777.564594119457,139.154625415802,0.6957657194137573
