episode, timestep, reward
4,400,-1440.0
9,800,-924.4
14,1200,-1215.2
19,1600,-1118.0
23,2000,-1538.0
26,2400,-2394.0
30,2800,-1473.5
35,3200,-1268.8
40,3600,-1427.2
45,4000,-1316.4
49,4400,-1495.5
53,4800,-1365.0
58,5200,-1299.6
63,5600,-1290.8
66,6000,-2054.6667
